batch,file,hit_term,hit_pos,window_len,has_seam_or_burst,whitespace_ratio,order_anomaly,proactive_event_tracker,triald,TRILogEvent,ABTest,variant,bucket,timestamp
24000-26999,part3.zip:part3.txt,確認,219622,60002,False,0.1491,True,False,True,True,False,False,True,
24000-26999,part3.zip:part3.txt,通信,219744,60002,False,0.149,True,False,True,True,False,False,True,
24000-26999,part3.zip:part3.txt,通信,219823,60002,False,0.1489,True,False,True,True,False,False,True,
24000-26999,part3.zip:part3.txt,通信,219854,60002,False,0.1489,True,False,True,True,False,False,True,
24000-26999,part3.zip:part3.txt,可能性,219875,60003,False,0.1488,True,False,True,True,False,False,True,
24000-26999,part3.zip:part3.txt,通信,219999,60002,False,0.1488,True,False,True,True,False,False,True,
24000-26999,part3.zip:part3.txt,通信,220156,60002,False,0.1487,True,False,True,True,False,False,True,
24000-26999,part3.zip:part3.txt,確認,231580,60002,False,0.1192,True,False,True,True,False,False,True,
24000-26999,part3.zip:part3.txt,確認,240021,60002,False,0.1013,True,False,True,False,False,False,True,
24000-26999,part3.zip:part3.txt,通信,240286,60002,False,0.1012,True,False,True,False,False,False,True,
24000-26999,part3.zip:part3.txt,通信,240433,60002,False,0.1013,True,False,True,False,False,False,True,
24000-26999,part3.zip:part3.txt,追跡,240548,60002,False,0.1016,True,False,True,False,False,False,True,
24000-26999,part3.zip:part3.txt,確認,242577,60002,False,0.1015,True,False,True,False,False,False,True,
24000-26999,part3.zip:part3.txt,確認,242706,60002,False,0.1016,True,False,True,False,False,False,True,
24000-26999,part3.zip:part3.txt,確認,244868,60002,False,0.101,True,False,True,False,False,False,True,
24000-26999,part3.zip:part3.txt,確認,257484,60002,False,0.064,True,False,True,False,False,False,True,
24000-26999,part3.zip:part3.txt,確認,270172,60002,False,0.0283,True,False,True,False,False,False,True,
24000-26999,part3.zip:part3.txt,設定,270378,60002,False,0.0285,True,False,True,False,False,False,True,
24000-26999,part3.zip:part3.txt,設定,271055,60002,False,0.0288,True,False,True,False,False,False,True,
24000-26999,part3.zip:part3.txt,設定,271117,60002,False,0.0287,True,False,True,False,False,False,True,
24000-26999,part3.zip:part3.txt,通信,271319,60002,False,0.0288,True,False,True,False,False,False,True,
24000-26999,part3.zip:part3.txt,追跡,271567,60002,False,0.0289,True,False,True,False,False,False,True,
24000-26999,part3.zip:part3.txt,確認,272762,60002,False,0.0297,True,False,True,False,False,False,True,
24000-26999,part3.zip:part3.txt,可能性,272911,60003,False,0.0297,True,False,True,False,False,False,True,
24000-26999,part3.zip:part3.txt,監視,273012,60002,False,0.0297,True,False,True,False,False,False,True,
24000-26999,part3.zip:part3.txt,監視,274062,60002,False,0.031,True,False,True,False,False,False,True,
24000-26999,part3.zip:part3.txt,可能性,274154,60003,False,0.0311,True,False,True,False,False,False,True,
24000-26999,part3.zip:part3.txt,確認,274323,60002,False,0.0313,True,False,True,False,False,False,True,
24000-26999,part3.zip:part3.txt,監視,274715,60002,False,0.0314,True,False,True,False,False,False,True,
24000-26999,part3.zip:part3.txt,通信,274731,60002,False,0.0314,True,False,True,False,False,False,True,
24000-26999,part3.zip:part3.txt,可能性,274854,60003,False,0.0315,True,False,True,False,False,False,True,
24000-26999,part3.zip:part3.txt,削除,274927,60002,False,0.0314,True,False,True,False,False,False,True,
24000-26999,part3.zip:part3.txt,確認,275122,60002,False,0.0312,True,False,True,False,False,False,True,
24000-26999,part3.zip:part3.txt,可能性,275147,60003,False,0.0312,True,False,True,False,False,False,True,
24000-26999,part3.zip:part3.txt,可能性,304130,60003,False,0.046,True,True,True,False,False,False,False,
24000-26999,part3.zip:part3.txt,可能性,304202,60003,False,0.046,True,True,True,False,False,False,False,
24000-26999,part3.zip:part3.txt,通信,317026,60002,False,0.0857,False,True,True,False,False,True,False,
24000-26999,part3.zip:part3.txt,通信,317201,60002,False,0.086,False,True,True,False,False,True,False,
24000-26999,part3.zip:part3.txt,検証,317625,60002,False,0.0874,False,True,True,False,False,True,False,
24000-26999,part3.zip:part3.txt,認証,317672,60002,False,0.0877,False,True,True,False,False,True,False,
24000-26999,part3.zip:part3.txt,可能性,317723,60003,False,0.0879,False,True,True,False,False,True,False,
24000-26999,part3.zip:part3.txt,可能性,318098,60003,False,0.0904,False,True,True,False,False,True,False,
24000-26999,part3.zip:part3.txt,可能性,318494,60003,False,0.0934,False,True,True,False,False,True,False,
24000-26999,part3.zip:part3.txt,削除,328009,60002,False,0.1484,False,True,True,False,False,True,False,
24000-26999,part3.zip:part3.txt,確認,329503,60002,False,0.1478,False,True,True,False,False,True,False,
24000-26999,part3.zip:part3.txt,確認,329660,60002,False,0.148,False,True,True,False,False,True,False,
24000-26999,part3.zip:part3.txt,確認,332179,60002,False,0.1464,False,True,True,False,False,True,False,
24000-26999,part3.zip:part3.txt,確認,334176,60002,False,0.1497,False,True,True,False,False,True,False,
24000-26999,part3.zip:part3.txt,確認,336325,60002,False,0.1502,False,True,True,False,False,True,False,
24000-26999,part3.zip:part3.txt,通信,336480,60002,False,0.1504,False,True,True,False,False,True,False,
24000-26999,part3.zip:part3.txt,確認,336815,60002,False,0.1509,False,True,True,False,False,True,False,
24000-26999,part3.zip:part3.txt,確認,337965,60002,False,0.1523,False,True,True,False,False,True,False,
24000-26999,part3.zip:part3.txt,確認,340147,60002,False,0.1558,False,True,True,False,False,True,False,
24000-26999,part3.zip:part3.txt,確認,346738,60002,False,0.1637,False,True,True,False,False,True,False,
24000-26999,part3.zip:part3.txt,設定,358844,60002,False,0.1707,False,True,True,False,False,True,False,
24000-26999,part3.zip:part3.txt,通信,359290,60002,False,0.171,False,True,True,False,False,True,False,
24000-26999,part3.zip:part3.txt,通信,359333,60002,False,0.171,False,True,True,False,False,True,False,
24000-26999,part3.zip:part3.txt,監視,359571,60002,False,0.1708,False,True,True,False,False,True,False,
24000-26999,part3.zip:part3.txt,可能性,359613,60003,False,0.1708,False,True,True,False,False,True,False,
24000-26999,part3.zip:part3.txt,通信,359670,60002,False,0.1707,False,True,True,False,False,True,False,
24000-26999,part3.zip:part3.txt,通信,360250,60002,False,0.1711,False,True,True,False,False,True,False,
24000-26999,part3.zip:part3.txt,追跡,360268,60002,False,0.1711,False,True,True,False,False,True,False,
24000-26999,part3.zip:part3.txt,可能性,360297,60003,False,0.1711,False,True,True,False,False,True,False,
24000-26999,part3.zip:part3.txt,確認,361201,60002,False,0.171,False,True,True,False,False,True,False,
24000-26999,part3.zip:part3.txt,監視,362074,60002,False,0.1707,False,True,True,False,False,True,False,
24000-26999,part3.zip:part3.txt,追跡,362129,60002,False,0.1706,False,True,True,False,False,True,False,
24000-26999,part3.zip:part3.txt,監視,362568,60002,False,0.1709,False,True,True,False,False,True,False,
24000-26999,part3.zip:part3.txt,可能性,362763,60003,False,0.171,False,True,True,False,False,True,False,
24000-26999,part3.zip:part3.txt,確認,363117,60002,False,0.171,False,True,True,False,False,True,False,
24000-26999,part3.zip:part3.txt,通信,363322,60002,False,0.1712,False,True,True,False,False,True,False,
24000-26999,part3.zip:part3.txt,確認,363723,60002,False,0.1712,False,True,True,False,False,True,False,
24000-26999,part3.zip:part3.txt,退避,364135,60002,False,0.1709,False,True,True,False,False,True,False,
24000-26999,part3.zip:part3.txt,設定,364229,60002,False,0.1708,False,True,True,False,False,True,False,
24000-26999,part3.zip:part3.txt,監視,366172,60002,False,0.1718,False,True,True,False,False,True,False,
24000-26999,part3.zip:part3.txt,可能性,366208,60003,False,0.1718,False,True,True,False,False,True,False,
24000-26999,part3.zip:part3.txt,可能性,366547,60003,False,0.1718,False,True,True,False,False,True,False,
24000-26999,part3.zip:part3.txt,可能性,366926,60003,False,0.1718,False,True,True,False,False,True,False,
24000-26999,part3.zip:part3.txt,監視,366965,60002,False,0.1718,False,True,True,False,False,True,False,
24000-26999,part3.zip:part3.txt,可能性,367004,60003,False,0.1718,False,True,True,False,False,True,False,
24000-26999,part3.zip:part3.txt,通信,369101,60002,False,0.1724,False,True,True,False,False,True,False,
24000-26999,part3.zip:part3.txt,通信,369295,60002,False,0.1724,False,True,True,False,False,True,False,
24000-26999,part3.zip:part3.txt,監視,369461,60002,False,0.1723,False,True,True,False,False,True,False,
24000-26999,part3.zip:part3.txt,追跡,369473,60002,False,0.1723,False,True,True,False,False,True,False,
24000-26999,part3.zip:part3.txt,監視,369910,60002,False,0.1724,False,True,True,False,False,True,False,
24000-26999,part3.zip:part3.txt,可能性,369942,60003,False,0.1724,False,True,True,False,False,True,False,
24000-26999,part3.zip:part3.txt,通信,369956,60002,False,0.1724,False,True,True,False,False,True,False,
24000-26999,part3.zip:part3.txt,通信,370345,60002,False,0.1721,False,True,True,False,False,True,False,
24000-26999,part3.zip:part3.txt,通信,370456,60002,False,0.1721,False,True,True,False,False,True,False,
24000-26999,part3.zip:part3.txt,通信,390282,60002,False,0.084,True,True,True,False,False,True,False,
24000-26999,part3.zip:part3.txt,通信,390378,60002,False,0.084,True,True,True,False,False,True,False,
24000-26999,part3.zip:part3.txt,通信,390497,60002,False,0.084,True,True,True,False,False,True,False,
24000-26999,part3.zip:part3.txt,通信,390608,60002,False,0.0839,True,True,True,False,False,True,False,
24000-26999,part3.zip:part3.txt,通信,390688,60002,False,0.0838,True,True,True,False,False,True,False,
24000-26999,part3.zip:part3.txt,通信,390703,60002,False,0.0838,True,True,True,False,False,True,False,
24000-26999,part3.zip:part3.txt,通信,392601,60002,False,0.0815,True,True,True,False,False,True,False,
24000-26999,part3.zip:part3.txt,削除,392638,60002,False,0.0814,True,True,True,False,False,True,False,
24000-26999,part3.zip:part3.txt,通信,392698,60002,False,0.0813,True,False,True,False,False,True,False,
24000-26999,part3.zip:part3.txt,通信,392764,60002,False,0.0812,True,False,True,False,False,True,False,
24000-26999,part3.zip:part3.txt,通信,392816,60002,False,0.0812,True,False,True,False,False,True,False,
24000-26999,part3.zip:part3.txt,設定,394605,60002,False,0.0792,True,False,True,False,False,True,False,
24000-26999,part3.zip:part3.txt,確認,394693,60002,False,0.0793,True,False,True,False,False,True,False,
24000-26999,part3.zip:part3.txt,設定,396996,60002,False,0.0804,True,False,True,False,False,True,False,
24000-26999,part3.zip:part3.txt,確認,397096,60002,False,0.0804,True,False,True,False,False,True,False,
24000-26999,part3.zip:part3.txt,設定,398635,60002,False,0.0795,True,False,True,False,False,True,False,
24000-26999,part3.zip:part3.txt,確認,398735,60002,False,0.0795,True,False,True,False,False,True,False,
24000-26999,part3.zip:part3.txt,検証,406954,60002,False,0.0678,True,False,False,False,False,True,False,
24000-26999,part3.zip:part3.txt,検証,407470,60002,False,0.0675,True,False,False,False,False,True,False,
24000-26999,part3.zip:part3.txt,可能性,407613,60003,False,0.0674,True,False,False,False,False,True,False,
24000-26999,part3.zip:part3.txt,通信,407671,60002,False,0.0674,True,False,False,False,False,True,False,
24000-26999,part3.zip:part3.txt,遮断,407673,60002,False,0.0674,True,False,False,False,False,True,False,
24000-26999,part3.zip:part3.txt,通信,407861,60002,False,0.0672,True,False,False,False,False,True,False,
24000-26999,part3.zip:part3.txt,通信,407916,60002,False,0.0672,True,False,False,False,False,True,False,
24000-26999,part3.zip:part3.txt,可能性,407930,60003,False,0.0672,True,False,False,False,False,True,False,
24000-26999,part3.zip:part3.txt,通信,408196,60002,False,0.0668,True,False,False,False,False,True,False,
24000-26999,part3.zip:part3.txt,削除,408213,60002,False,0.0667,True,False,False,False,False,True,False,
24000-26999,part3.zip:part3.txt,通信,408262,60002,False,0.0667,True,False,False,False,False,True,False,
24000-26999,part3.zip:part3.txt,遮断,408265,60002,False,0.0667,True,False,False,False,False,True,False,
24000-26999,part3.zip:part3.txt,設定,410072,60002,False,0.0642,True,False,False,False,False,True,False,
24000-26999,part3.zip:part3.txt,確認,410162,60002,False,0.064,True,False,False,False,False,True,False,
24000-26999,part3.zip:part3.txt,設定,412483,60002,False,0.0608,True,False,False,False,False,True,False,
24000-26999,part3.zip:part3.txt,確認,412578,60002,False,0.0607,True,False,False,False,False,True,False,
24000-26999,part3.zip:part3.txt,設定,414134,60002,False,0.0582,True,False,False,False,False,True,False,
24000-26999,part3.zip:part3.txt,確認,414229,60002,False,0.0581,True,False,False,False,False,True,False,
24000-26999,part3.zip:part3.txt,確認,416187,60002,False,0.0538,True,False,False,False,False,True,False,
24000-26999,part3.zip:part3.txt,確認,416294,60002,False,0.0536,True,False,False,False,False,True,False,
24000-26999,part3.zip:part3.txt,可能性,881427,60003,False,0.095,False,False,False,False,False,False,True,
24000-26999,part3.zip:part3.txt,設定,881505,60002,False,0.0946,False,False,False,False,False,False,True,
24000-26999,part3.zip:part3.txt,可能性,881574,60003,False,0.0942,False,False,False,False,False,False,True,
24000-26999,part3.zip:part3.txt,設定,881591,60002,False,0.0941,False,False,False,False,False,False,True,
24000-26999,part3.zip:part3.txt,通信,881650,60002,False,0.0936,False,False,False,False,False,False,True,
24000-26999,part3.zip:part3.txt,設定,881719,60002,False,0.0931,False,False,False,False,False,False,True,
24000-26999,part3.zip:part3.txt,可能性,881873,60003,False,0.092,False,False,False,False,False,False,True,
24000-26999,part3.zip:part3.txt,アクセス,881948,60004,False,0.0917,False,False,False,False,False,False,True,
24000-26999,part3.zip:part3.txt,設定,882150,60002,False,0.0903,False,False,False,False,False,False,True,
24000-26999,part3.zip:part3.txt,設定,882179,60002,False,0.0902,False,False,False,False,False,False,True,
24000-26999,part3.zip:part3.txt,アクセス,882386,60004,False,0.0888,False,False,False,False,False,False,True,
24000-26999,part3.zip:part3.txt,可能性,882474,60003,False,0.0881,False,False,False,False,False,False,True,
24000-26999,part3.zip:part3.txt,確認,882621,60002,False,0.0871,False,False,False,False,False,False,True,
24000-26999,part3.zip:part3.txt,設定,882629,60002,False,0.0871,False,False,False,False,False,False,True,
24000-26999,part3.zip:part3.txt,確認,882666,60002,False,0.0868,False,False,False,False,False,False,True,
24000-26999,part3.zip:part3.txt,確認,882938,60002,False,0.0849,False,False,False,False,False,False,True,
24000-26999,part3.zip:part3.txt,アクセス,883002,60004,False,0.0845,False,False,False,False,False,False,True,
24000-26999,part3.zip:part3.txt,遮断,889837,60002,False,0.0748,False,False,False,False,False,False,True,
24000-26999,part3.zip:part3.txt,遮断,889871,60002,False,0.0748,False,False,False,False,False,False,True,
24000-26999,part3.zip:part3.txt,可能性,889879,60003,False,0.0747,False,False,False,False,False,False,True,
24000-26999,part3.zip:part3.txt,確認,889917,60002,False,0.0747,False,False,False,False,False,False,True,
24000-26999,part3.zip:part3.txt,設定,889935,60002,False,0.0747,False,False,False,False,False,False,True,
24000-26999,part3.zip:part3.txt,削除,889973,60002,False,0.0747,False,False,False,False,False,False,True,
24000-26999,part3.zip:part3.txt,設定,889982,60002,False,0.0747,False,False,False,False,False,False,True,
